RowId,Location
1,66.977
2,37.668
3,28.854
4,36.892
5,60.843
6,37.871
7,73.205
8,39.016
9,35.503
10,37.388
11,22.402
12,37.957
13,59.93
14,24.993
15,79.154
16,28.836
17,38.263
18,24.205
19,16.036
20,28.014
21,50.02
22,51.467
23,62.92
24,76.338
25,30.908
26,75.743
27,47.624
28,68.716
29,47.464
30,84.004
31,67.371
32,36.239
33,27.632
34,37.187
35,60.758
36,37.376
37,74.084
38,36.635
39,34.352
40,37.829
41,20.787
42,38.134
43,56.839
44,31.29
45,80.126
46,28.833
47,36.698
48,31.665
49,13.66
50,31.131
51,48.654
52,58.052
53,65.156
54,75.769
55,33.639
56,77.046
57,49.368
58,72.084
59,49.53
60,88.459
61,65.873
62,36.597
63,31.002
64,37.823
65,60.129
66,37.58
67,71.35
68,37.01
69,36.621
70,38.288
71,25.223
72,38.844
73,57.182
74,30.388
75,76.112
76,29.208
77,38.489
78,31.05
79,19.193
80,31.927
81,49.612
82,55.414
83,63.927
84,74.87
85,36.147
86,76.196
87,50.067
88,71.07
89,50.219
90,84.117
91,66.113
92,39.316
93,30.541
94,40.727
95,59.282
96,40.206
97,72.885
98,40.257
99,37.15
100,41.076
101,23.646
102,42.332
103,55.993
104,30.531
105,78.266
106,32.241
107,38.722
108,31.33
109,17.499
110,35.001
111,48.355
112,53.582
113,65.711
114,76.644
115,33.261
116,77.971
117,49.064
118,72.338
119,49.333
120,82.992
121,67.19
122,36.983
123,28.382
124,38.641
125,60.942
126,37.741
127,73.49
128,37.731
129,34.816
130,38.656
131,22.05
132,40.158
133,57.762
134,26.341
135,79.318
136,27.336
137,36.693
138,27.002
139,14.821
140,30.688
141,49.206
142,52.532
143,64.9
144,76.467
145,34.72
146,78.023
147,49.673
148,69.224
149,49.972
150,86.498
151,67.08
152,37.413
153,29.181
154,37.64
155,59.966
156,38.219
157,74.395
158,38.634
159,36.446
160,38.317
161,21.781
162,39.067
163,55.655
164,30.626
165,81.156
166,32.07
167,40.163
168,30.722
169,15.137
170,32.793
171,48.369
172,51.857
173,63.801
174,76.71
175,32.749
176,77.147
177,48.107
178,70.178
179,48.236
180,84.412
181,66.64
182,34.512
183,24.591
184,35.302
185,59.904
186,35.436
187,73.816
188,35.321
189,32.902
190,35.843
191,16.61
192,36.698
193,58.742
194,26.624
195,79.87
196,26.071
197,37.865
198,25.869
199,9.0525
200,28.701
201,54.038
202,52.315
203,63.624
204,76.379
205,30.207
206,77.782
207,49.314
208,70.465
209,49.3
210,86.134
211,67.424
212,36.838
213,29.83
214,36.866
215,61.265
216,37.61
217,73.689
218,37.605
219,36.28
220,37.568
221,23.381
222,37.787
223,58.836
224,30.112
225,79.19
226,29.276
227,38.787
228,29.988
229,17.216
230,29.97
231,50.32
232,53.96
233,64.32
234,73.938
235,34.002
236,74.341
237,49.527
238,69.255
239,49.507
240,83.771
241,65.738
242,39.756
243,31.411
244,38.273
245,59.704
246,40.159
247,72.209
248,40.734
249,37.53
250,39.221
251,25.071
252,38.792
253,56.431
254,30.996
255,78.315
256,32.069
257,41.296
258,30.188
259,18.97
260,30.151
261,47.971
262,57.13
263,61.963
264,76.378
265,31.868
266,75.247
267,46.985
268,70.411
269,46.739
270,86.274
271,66.924
272,36.8
273,29.796
274,36.413
275,60.829
276,37.27
277,73.367
278,37.925
279,36.286
280,36.97
281,23.326
282,37.479
283,58.771
284,26.593
285,80.159
286,30.272
287,39.15
288,26.23
289,16.285
290,30.157
291,49.353
292,54.182
293,63.755
294,73.649
295,32.612
296,73.394
297,48.491
298,67.736
299,48.449
300,82.921
301,68.563
302,39.555
303,30.278
304,36.946
305,62.26
306,39.713
307,74.919
308,41.134
309,36.799
310,38.085
311,23.859
312,37.536
313,59.212
314,31.596
315,81.742
316,33.1
317,41.05
318,30.127
319,17.908
320,28.741
321,49.164
322,53.371
323,60.909
324,79.804
325,33.234
326,77.954
327,47.321
328,71.262
329,46.944
330,87.246
331,66.16
332,38.798
333,31.524
334,38.193
335,59.794
336,39.528
337,72.838
338,39.913
339,38.233
340,39.119
341,24.615
342,39.237
343,56.743
344,31.301
345,79.374
346,33.157
347,42.564
348,30.788
349,18.033
350,32.595
351,50.356
352,56.424
353,61.946
354,78.193
355,34.713
356,77.975
357,48.934
358,73.142
359,48.828
360,83.426
361,66.087
362,36.864
363,30.187
364,35.359
365,60.366
366,37.587
367,71.858
368,37.273
369,35.707
370,36.549
371,24.404
372,35.227
373,57.052
374,30.41
375,77.96
376,28.982
377,38.765
378,29.725
379,17.836
380,26.999
381,46.942
382,63.599
383,60.912
384,77.683
385,33.593
386,76.554
387,47.204
388,73.93
389,46.908
390,90.166
391,64.629
392,36.747
393,26.611
394,35.569
395,57.7
396,37.63
397,72.377
398,37.484
399,33.67
400,36.687
401,19.371
402,35.804
403,56.087
404,26.329
405,80.262
406,27.978
407,35.164
408,25.778
409,11.809
410,25.773
411,44.167
412,63.833
413,59.292
414,73.258
415,31.288
416,72.043
417,44.993
418,71.991
419,44.994
420,78.21
421,66.833
422,39.434
423,30.797
424,37.398
425,59.611
426,40.09
427,74.202
428,40.706
429,37.732
430,38.823
431,23.393
432,37.885
433,55.622
434,32.11
435,81.121
436,33.918
437,41.655
438,31.255
439,17.208
440,30.638
441,46.407
442,60.255
443,61.939
444,81.163
445,30.935
446,79.477
447,46.112
448,76.711
449,45.811
450,88.052
451,67.071
452,36.238
453,29.683
454,33.733
455,60.849
456,36.455
457,73.156
458,37.628
459,35.997
460,34.919
461,23.586
462,33.997
463,59.962
464,28.004
465,78.308
466,27.737
467,38.135
468,26.869
469,19.398
470,23.366
471,47.758
472,48.228
473,59.525
474,71.983
475,31.816
476,69.895
477,45.725
478,65.416
479,45.394
480,77.122
481,65.817
482,37.868
483,29.649
484,36.936
485,58.877
486,38.588
487,73.118
488,39.125
489,36.791
490,37.959
491,22.226
492,37.912
493,55.121
494,29.787
495,80.735
496,33.194
497,41.417
498,29.2
499,15.017
500,31.911
501,47.74
502,58.016
503,61.277
504,79.304
505,32.073
506,78.607
507,46.886
508,73.91
509,46.79
510,85.426
511,63.654
512,36.354
513,31.046
514,37.79
515,57.971
516,37.597
517,69.921
518,36.307
519,37.046
520,38.38
521,24.703
522,38.575
523,55.74
524,30.015
525,74.859
526,28.15
527,39.222
528,30.61
529,18.102
530,31.743
531,49.855
532,60.011
533,64.092
534,69.688
535,34.415
536,71.135
537,49.812
538,69.37
539,49.967
540,80.028
541,64.153
542,35.652
543,30.001
544,36.929
545,58.38
546,36.703
547,69.712
548,36.014
549,35.615
550,37.418
551,24.227
552,37.874
553,55.001
554,30.111
555,74.85
556,28.765
557,37.866
558,30.85
559,18.15
560,31.35
561,47.871
562,55.064
563,61.284
564,73.952
565,36.012
566,75.234
567,48.533
568,69.99
569,48.768
570,81.823
571,65.362
572,34.843
573,29.152
574,35.421
575,59.602
576,35.356
577,71.358
578,35.733
579,35.218
580,35.644
581,23.172
582,36.601
583,56.917
584,24.724
585,77.7
586,27.806
587,38.047
588,24.933
589,16.244
590,29.418
591,48.155
592,50.961
593,62.707
594,71.303
595,32.775
596,71.73
597,47.777
598,64.045
599,47.917
600,82.129
601,63.963
602,35.843
603,30.929
604,37.079
605,57.517
606,37.145
607,70.847
608,36.087
609,37.346
610,37.796
611,24.114
612,37.949
613,53.793
614,29.293
615,76.119
616,27.269
617,40.03
618,30.092
619,17.847
620,30.038
621,47.647
622,57.369
623,62.146
624,72.756
625,35.058
626,73.776
627,48.397
628,70.351
629,48.618
630,80.101
631,66.684
632,37.779
633,31.307
634,36.338
635,60.006
636,38.557
637,74.121
638,38.739
639,38.053
640,37.549
641,24.257
642,36.748
643,59.341
644,27.393
645,80.955
646,30.028
647,38.983
648,26.911
649,17.772
650,27.668
651,47.402
652,61.239
653,63.199
654,70.801
655,32.907
656,69.355
657,47.853
658,70.706
659,47.705
660,75.161
661,67.579
662,37.568
663,29.794
664,36.636
665,61.199
666,38.056
667,74.011
668,38.85
669,36.374
670,37.436
671,23.302
672,37.596
673,58.264
674,29.76
675,80.353
676,30.747
677,39.638
678,29.235
679,17.263
680,29.304
681,49.004
682,51.379
683,61.824
684,76.234
685,34.122
686,75.694
687,48.036
688,68.951
689,47.958
690,83.063
691,63.759
692,40.325
693,32.348
694,35.144
695,56.891
696,40.608
697,71.083
698,41.623
699,38.338
700,37.42
701,25.698
702,34.155
703,55.208
704,32.132
705,77.663
706,33.733
707,40.146
708,30.311
709,21.624
710,24.323
711,40.718
712,63.986
713,56.573
714,73.242
715,27.811
716,68.313
717,41.011
718,72.931
719,40.343
720,76.011
721,65.71
722,35.18
723,29.935
724,37.938
725,59.554
726,36.218
727,71.644
728,35.717
729,35.8
730,37.842
731,24.112
732,39.599
733,56.013
734,27.661
735,76.058
736,26.127
737,36.167
738,29.421
739,18.59
740,31.008
741,47.648
742,46.135
743,64.178
744,69.728
745,37.061
746,72.082
747,49.62
748,63.771
749,50.206
750,76.988
751,67.404
752,34
753,26.855
754,39.3
755,59.607
756,36.168
757,74.911
758,33.728
759,34.203
760,39.25
761,19.274
762,41.194
763,56.994
764,27.679
765,78.227
766,21.436
767,31.291
768,30.759
769,13.186
770,30.74
771,48.216
772,53.778
773,69.558
774,71.036
775,37.059
776,75.659
777,52.177
778,72.522
779,53.115
780,76.889
781,66.793
782,37.029
783,28.098
784,36.631
785,60.171
786,37.768
787,73.128
788,37.886
789,34.272
790,37.443
791,21.813
792,37.283
793,56.336
794,30.485
795,79.326
796,29.933
797,36.038
798,30.539
799,15.658
800,29.195
801,45.348
802,56.063
803,61.922
804,77.215
805,32.987
806,77.014
807,46.624
808,71.843
809,46.675
810,86.458
811,68.145
812,36.372
813,29.318
814,36.015
815,60.937
816,36.962
817,75.364
818,37.815
819,36.359
820,36.705
821,22.203
822,37.271
823,57.157
824,27.453
825,82.116
826,30.172
827,38.858
828,27.564
829,15.971
830,29.585
831,46.679
832,50.03
833,63.907
834,75.572
835,32.168
836,75.17
837,47.214
838,68.268
839,47.293
840,83.129
841,66.809
842,36.079
843,28.631
844,36.046
845,60.341
846,37.108
847,72.899
848,36.666
849,34.662
850,36.955
851,22.406
852,36.603
853,56.146
854,30.463
855,79.308
856,29.161
857,37.011
858,30.657
859,15.599
860,29.111
861,46.323
862,60.258
863,61.038
864,80.263
865,35.894
866,80.42
867,47.897
868,75.849
869,47.954
870,88.666
871,64.808
872,34.713
873,30.441
874,36.048
875,58.757
876,35.918
877,70.728
878,34.93
879,36.415
880,36.675
881,24.176
882,36.884
883,55.969
884,28.341
885,75.439
886,26.796
887,38.568
888,29.081
889,18.037
890,29.867
891,48.894
892,57.275
893,63.201
894,74.17
895,34.818
896,75.39
897,49.161
898,71.742
899,49.299
900,83.259
901,65.872
902,39.623
903,29.673
904,38.116
905,58.959
906,40.221
907,73.125
908,40.841
909,36.818
910,39.291
911,22.246
912,38.856
913,55.844
914,32.027
915,79.787
916,33.754
917,41.148
918,31.041
919,15.914
920,31.653
921,48.283
922,57.93
923,61.956
924,79.131
925,30.129
926,78.12
927,46.505
928,74.337
929,46.26
930,86.213
931,66.254
932,37.125
933,30.063
934,37.312
935,60.232
936,37.873
937,72.365
938,37.971
939,36.249
940,37.91
941,23.915
942,38.336
943,57.089
944,30.446
945,78.154
946,29.81
947,39.052
948,30.509
949,17.828
950,30.405
951,49.098
952,52.212
953,61.76
954,74.208
955,35.816
956,74.67
957,48.823
958,68.23
959,48.924
960,81.375
961,65.68
962,34.989
963,28.326
964,35.689
965,60
966,35.433
967,71.115
968,36.001
969,33.966
970,35.784
971,23.048
972,36.936
973,56.05
974,27.205
975,76.863
976,27.082
977,36.402
978,27.708
979,17.278
980,28.185
